Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
April,04/26/2023,12:31:00,04/26/2023,14:15:00,Idaho: Bonner County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
April,04/27/2023,11:00:00,04/27/2023,11:14:00,Texas: Blanco County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
April,04/27/2023,04:01:00,04/28/2023,12:28:00,California: Stanislaus County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
April,04/29/2023,00:00:00,04/29/2023,20:00:00,"Texas: Hidalgo County, Cameron County, Willacy County, Starr County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,168419
May,2023-05-01 00:00:00,05:16:00,2023-05-01 00:00:00,09:31:00,Connecticut: Massachusetts: Rhode Island: Maine: New Hampshire: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,54000
May,2023-05-02 00:00:00,10:00:00,2023-05-02 00:00:00,10:01:00,Texas:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
May,2023-05-02 00:00:00,11:29:00,2023-05-02 00:00:00,15:36:00,Ohio: Kentucky:,RF/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
May,2023-05-04 00:00:00,18:00:00,2023-05-04 00:00:00,18:01:00,Texas: San Patricio County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
May,2023-05-11 00:00:00,00:15:00,2023-05-18 00:00:00,09:27:00,Michigan: Eaton County;,RF ,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Unknown,378
May,2023-05-11 00:00:00,12:00:00,2023-05-11 00:00:00,12:01:00,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
May,2023-05-12 00:00:00,13:00:00,2023-05-12 00:00:00,23:00:00,Kentucky: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
May,2023-05-12 00:00:00,11:43:00,2023-05-12 00:00:00,12:00:00,New York: Broome County;,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0
May,2023-05-13 00:00:00,07:25:00,2023-05-13 00:00:00,12:10:00,North Dakota: Williams County;,MRO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,8,327
May,2023-05-13 00:00:00,06:27:00,2023-05-13 00:00:00,15:27:00,North Dakota: Williams County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,64,2
May,2023-05-13 00:00:00,05:27:00,Unknown,Unknown,North Dakota: Williams County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,166,327
May,2023-05-16 00:00:00,14:45:00,2023-05-16 00:00:00,15:10:00,Oregon: Multnomah County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
May,2023-05-21 00:00:00,15:30:00,2023-05-21 00:00:00,15:40:00,Washington: Whatcom County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
May,2023-05-22 00:00:00,15:39:00,2023-05-22 00:00:00,18:00:00,Florida: Putnam County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,0,0
May,2023-05-23 00:00:00,14:00:00,Unknown,Unknown,North Dakota:,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
May,2023-05-24 00:00:00,07:45:00,2023-05-24 00:00:00,18:52:00,North Dakota:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
May,2023-05-24 00:00:00,09:16:00,Unknown,Unknown,Iowa: Minnesota:,MRO,Complete operational failure or shut down of the transmission and/or distribution electrical system,System Operations,2200,Unknown
May,2023-05-26 00:00:00,07:41:00,2023-05-26 00:00:00,14:19:00,Georgia: Gwinnett County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
May,2023-05-28 00:00:00,09:15:00,2023-05-28 00:00:00,09:16:00,Alabama: Tuscaloosa County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
May,2023-05-30 00:00:00,08:00:00,2023-05-30 00:00:00,08:01:00,Massachusetts: Hampden County[13];,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Actual Physical Attack/Vandalism,0,0
May,2023-05-31 00:00:00,11:00:00,2023-05-31 00:00:00,23:48:00,Florida: Alachua County;,SERC,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
June,2023-06-25 00:00:00,06:45:00,Unknown,Unknown,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,120000
June,2023-06-24 00:00:00,18:17:00,2023-06-24 00:00:00,23:25:00,Michigan,RF,- 10. Suspected Physical Attack,- Vandalism - Theft,5,5200
June,2023-06-25 00:00:00,17:30:00,2023-06-26 00:00:00,15:31:00,"Georgia, Alabama",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,Unknown
June,2023-06-25 00:00:00,04:00:00,Unknown,Unknown,"Wisconsin, Michigan",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,175,70000
June,2023-06-25 00:00:00,19:00:00,Unknown,Unknown,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,Unknown
June,2023-06-27 00:00:00,13:43:00,2023-06-27 00:00:00,13:44:00,California,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
June,2023-06-25 00:00:00,19:30:00,2023-06-26 00:00:00,17:45:00,"Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,64732
June,2023-06-27 00:00:00,17:37:00,2023-06-27 00:00:00,21:30:00,"Washington, Idaho, Montana",WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard,0,0
June,2023-06-29 00:00:00,15:42:00,Unknown,Unknown,Indiana,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,140000
June,2023-06-28 00:00:00,11:01:00,2023-06-28 00:00:00,11:03:00,Georgia,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
June,2023-06-22 00:00:00,02:30:00,2023-06-22 00:00:00,02:38:00,Louisiana,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,17,6242
June,2023-06-20 00:00:00,17:48:00,2023-06-20 00:00:00,20:52:00,Louisiana,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,0,0
June,2023-06-30 00:00:00,12:13:00,Unknown,Unknown,Connecticut,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,0,0
July,2023-07-01 00:00:00,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
July,2023-07-06 00:00:00,09:02:00,2023-07-06 00:00:00,10:49:00,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard - Other,Unknown,Unknown
July,2023-07-06 00:00:00,13:38:00,2023-07-06 00:00:00,15:04:00,Nebraska: Sarpy County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
July,2023-07-06 00:00:00,19:01:00,2023-07-06 00:00:00,21:11:00,Florida: Hillsborough County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
July,2023-07-07 00:00:00,07:00:00,2023-07-07 00:00:00,08:00:00,California: San Diego County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
July,2023-07-07 00:00:00,17:43:00,2023-07-11 00:00:00,13:27:00,Texas: Randall County; New Mexico:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Weather or natural disaster,0,0
July,2023-07-09 00:00:00,01:28:00,2023-07-12 00:00:00,22:30:00,Oregon: Lane County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
July,2023-07-09 00:00:00,01:28:00,Unknown,Unknown,Oregon: Lane County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
July,2023-07-10 00:00:00,03:32:00,2023-07-10 00:00:00,17:46:00,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,0,0
July,2023-07-14 00:00:00,15:00:00,Unknown,Unknown,Missouri: Kansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,163156
July,2023-07-16 00:00:00,10:29:00,2023-07-16 00:00:00,10:56:00,California: Sacramento County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
July,2023-07-17 00:00:00,09:46:00,2023-07-17 00:00:00,11:00:00,New York: Broome County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,642
July,2023-07-18 00:00:00,17:50:00,2023-07-25 00:00:00,14:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Weather or natural disaster,1200,216000
July,2023-07-18 00:00:00,13:30:00,2023-07-18 00:00:00,14:30:00,Missouri:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
July,2023-07-20 00:00:00,10:05:00,2023-07-20 00:00:00,10:06:00,Georgia: DeKalb County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
July,2023-07-20 00:00:00,15:30:00,2023-07-21 00:00:00,12:00:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,90354
July,2023-07-20 00:00:00,16:30:00,2023-07-22 00:00:00,12:17:00,Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,640,35257
July,2023-07-22 00:00:00,14:52:00,2023-07-22 00:00:00,14:53:00,"Mississippi: Washington County, Sharkey County, Sunflower County;",SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,130,32781
July,2023-07-25 00:00:00,18:52:00,2023-07-25 00:00:00,19:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Unknown - Failure at high voltage substation or switchyard,820,Unknown
July,2023-07-26 00:00:00,14:51:00,2023-07-26 00:00:00,17:23:00,"Michigan: Oakland County, Wayne County, Macomb County, Washtenaw County, Livingston County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,246000
July,2023-07-26 00:00:00,13:31:00,2023-07-26 00:00:00,14:00:00,Idaho: Kootenai County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism - Suspicious activity,0,0
July,2023-07-28 00:00:00,00:15:00,2023-07-28 00:00:00,05:06:00,Nebraska: Scotts Bluff County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard - Weather or natural disaster,0,0
July,2023-07-28 00:00:00,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: King County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism - Other,0,0
July,2023-07-28 00:00:00,22:58:00,2023-07-29 00:00:00,Unknown,"Wisconsin: Jefferson County, Waukesha County, Milwaukee County, Sheboygan County, Washington County, Ozaukee County, Walworth County, Kenosha County, Racine County; Michigan:",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,213,85000
July,2023-07-28 00:00:00,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,122921
July,2023-07-28 00:00:00,18:00:00,2023-07-30 00:00:00,07:45:00,West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,52098
July,2023-07-28 00:00:00,21:00:00,Unknown,Unknown,Maryland: Harford County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,61000
July,2023-07-28 00:00:00,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: Skagit County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism,0,0
July,2023-07-29 00:00:00,16:00:00,2023-08-01 00:00:00,07:00:00,Maryland:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,53630
July,2023-07-29 00:00:00,16:25:00,2023-07-29 00:00:00,16:28:00,Maryland: Montgomery County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,54158
July,2023-07-29 00:00:00,16:00:00,2023-07-29 00:00:00,16:01:00,Massachusetts: Franklin County[13];,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility. Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",- Threat of physical attack,0,0
July,2023-07-30 00:00:00,20:30:00,Unknown,Unknown,Missouri: Kansas:,"SERC,MRO","Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,72173
August,,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
August,,09:02:00,2023-07-06 00:00:00,10:49:00,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard - Other,Unknown,Unknown
August,,13:38:00,2023-07-06 00:00:00,15:04:00,Nebraska: Sarpy County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
August,,19:01:00,2023-07-06 00:00:00,21:11:00,Florida: Hillsborough County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
August,,07:00:00,2023-07-07 00:00:00,08:00:00,California: San Diego County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
August,,17:43:00,2023-07-11 00:00:00,13:27:00,Texas: Randall County; New Mexico:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Weather or natural disaster,0,0
August,,01:28:00,2023-07-12 00:00:00,22:30:00,Oregon: Lane County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
August,,01:28:00,Unknown,Unknown,Oregon: Lane County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
August,,03:32:00,2023-07-10 00:00:00,17:46:00,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,0,0
August,,15:00:00,Unknown,Unknown,Missouri: Kansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,163156
August,,10:29:00,2023-07-16 00:00:00,10:56:00,California: Sacramento County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
August,,09:46:00,2023-07-17 00:00:00,11:00:00,New York: Broome County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,642
August,,17:50:00,2023-07-25 00:00:00,14:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Weather or natural disaster,1200,216000
August,,13:30:00,2023-07-18 00:00:00,14:30:00,Missouri:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
August,,10:05:00,2023-07-20 00:00:00,10:06:00,Georgia: DeKalb County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
August,,15:30:00,2023-07-21 00:00:00,12:00:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,90354
August,,16:30:00,2023-07-22 00:00:00,12:17:00,Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,640,35257
August,,14:52:00,2023-07-22 00:00:00,14:53:00,"Mississippi: Washington County, Sharkey County, Sunflower County;",SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,130,32781
August,,18:52:00,2023-07-25 00:00:00,19:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Unknown - Failure at high voltage substation or switchyard,820,Unknown
August,,14:51:00,2023-07-26 00:00:00,17:23:00,"Michigan: Oakland County, Wayne County, Macomb County, Washtenaw County, Livingston County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,246000
August,,13:31:00,2023-07-26 00:00:00,14:00:00,Idaho: Kootenai County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism - Suspicious activity,0,0
August,,00:15:00,2023-07-28 00:00:00,05:06:00,Nebraska: Scotts Bluff County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard - Weather or natural disaster,0,0
August,,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: King County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism - Other,0,0
August,,22:58:00,2023-07-29 00:00:00,Unknown,"Wisconsin: Jefferson County, Waukesha County, Milwaukee County, Sheboygan County, Washington County, Ozaukee County, Walworth County, Kenosha County, Racine County; Michigan:",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,213,85000
August,,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,122921
August,,18:00:00,2023-07-30 00:00:00,07:45:00,West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,52098
August,,21:00:00,Unknown,Unknown,Maryland: Harford County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,61000
August,,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: Skagit County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,- Physical attack - Vandalism,0,0
August,,16:00:00,2023-08-01 00:00:00,07:00:00,Maryland:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,53630
August,,16:25:00,2023-07-29 00:00:00,16:28:00,Maryland: Montgomery County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,54158
August,,16:00:00,2023-07-29 00:00:00,16:01:00,Massachusetts: Franklin County[13];,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility. Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",- Threat of physical attack,0,0
August,,20:30:00,Unknown,Unknown,Missouri: Kansas:,"SERC,MRO","Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,72173
September,2023-09-29 00:00:00,22:16:00,09/29/2023,22:18:00,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,- Weather or natural disaster,18,9082
September,09/29/2023,23:49:00,09/30/2023,03:10:00,Texas: New Mexico: Lea County;,"TRE,WECC"," Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Weather or natural disaster,0,0
September,09/29/2023,11:31:00,09/29/2023,12:07:00,Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
September,09/28/2023,13:06:00,09/28/2023,16:30:00,Massachusetts: Rhode Island:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
September,09/25/2023,05:12:00,09/25/2023,06:41:00,Louisiana: East Baton Rouge Parish;,SERC," Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,103,23380
September,09/29/2023,06:30:00,09/29/2023,07:01:00,Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
September,09/28/2023,13:06:00,09/28/2023,16:30:00,Massachusetts: Rhode Island:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
September,09/24/2023,23:44:00,09/26/2023,20:45:00,"Texas: Dallas County, Tarrant County, McLennan County, Angelina County, Bell County, Williamson County, Smith County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,130000
September,09/18/2023,08:53:00,09/18/2023,10:26:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
September,09/20/2023,12:41:00,09/20/2023,23:25:00,Oklahoma:,MRO,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency",- Unknown,51,Unknown
September,09/16/2023,00:59:00,09/16/2023,09:59:00,New York: Suffolk County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
September,09/15/2023,16:30:00,09/15/2023,17:00:00,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
September,09/16/2023,10:35:00,09/17/2023,01:00:00,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,75000
September,09/13/2023,09:15:00,09/13/2023,18:16:00,Texas: Hidalgo County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack,0,0
September,09/08/2023,23:44:00,09/10/2023,19:00:00,"Texas: Tarrant County, Dallas County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,190000
September,09/08/2023,06:30:00,09/08/2023,09:00:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
September,09/08/2023,18:06:00,09/08/2023,18:51:00,Massachusetts: Essex County[13];,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Other,0,0
September,09/08/2023,15:15:00,09/09/2023,22:05:00,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,114000
September,09/09/2023,10:31:00,09/09/2023,10:51:00,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
September,09/07/2023,13:00:00,09/07/2023,13:15:00,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
September,09/08/2023,06:30:00,09/08/2023,09:00:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
September,09/07/2023,10:45:00,09/07/2023,21:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,- Weather or natural disaster - Other,Unknown,Unknown
September,09/06/2023,16:30:00,09/06/2023,21:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,- Weather or natural disaster - Other,Unknown,Unknown
September,09/06/2023,00:00:00,Unknown ,Unknown ,Michigan: Gratiot County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Weather or natural disaster - Other,Unknown,0
September,09/05/2023,01:38:00,09/05/2023,05:39:00,Maine: Kennebec County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
October ,10/03/2023,00:55:00,10/03/2023,01:13:00,Missouri: St. Louis County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft - Suspicious activity,Unknown,Unknown
